from,to
N07 N02 G N02+,N07 N02 G N02+ N11
N07 N02 G N03,N07 N02 G N03 N16
N07 N02 G N04,N07 N02 G N04 N11
N07 N02 G N05,N07 N02 G N05 N11
N07 N02 G N06,N07 N02 G N06 N04
N07 N02 G N08,N07 N02 G N08 N04
N07 N02 G N09,N07 N02 G N09 N04
N07 N02 G N10,N07 N02 G N10 S36
N07 N02 G N11,N07 N02 G N11 N17
N07 N02 G N12,N07 N02 G N12 S18
N07 N02 G N13,N07 N02 G N13 N17
N07 N02 G N14,N07 N02 G N14 S35
N07 N02 G N15,N07 N02 G N15 N26
N07 N02 G N16,N07 N02 G N16 N11
N07 N02 G N17,N07 N02 G N17 N11
N07 N02 G N18,N07 N02 G N18 N11
N07 N02 G N19,N07 N02 G N19 N11
N07 N02 G N20,N07 N02 G N20 N19
N07 N02 G N21,N07 N02 G N21 N04
N07 N02 G N22,N07 N02 G N22 N26
N07 N02 G N23,N07 N02 G N23 N08
N07 N02 G N24,N07 N02 G N24 N04
N07 N02 G N25,N07 N02 G N25 N04
N07 N02 G N26,N07 N02 G N26 N04
N07 N02 G N27,N07 N02 G N27 S35
N07 N02 G N28,N07 N02 G N28 N17
N07 N02 G N29,N07 N02 G N29 N17
N07 N02 G N30,N07 N02 G N30 N17
N07 N02 G N31,N07 N02 G N31 S35
N07 N02 G N32,N07 N02 G N32 S35
N07 N02 G N33,N07 N02 G N33 N26
N07 N02 G N34,N07 N02 G N34 N26
N07 N02 G N35,N07 N02 G N35 N11
N07 N02 G N36,N07 N02 G N36 N04
N07 N02 G N37,N07 N02 G N37 N04
N07 N02 G N38,N07 N02 G N38 N04
N07 N02 G N39,N07 N02 G N39 N04
N07 N02 G N40,N07 N02 G N40 N04
N07 N02 G S01,N07 N02 G S01 N26
N07 N02 G S02,N07 N02 G S02 N17
N07 N02 G S03,N07 N02 G S03 N26
N07 N02 G S04,N07 N02 G S04 N26
N07 N02 G S05,N07 N02 G S05 N26
N07 N02 G S06,N07 N02 G S06 N17
N07 N02 G S07,N07 N02 G S07 N26
N07 N02 G S08,N07 N02 G S08 N26
N07 N02 G S09,N07 N02 G S09 N04
N07 N02 G S10,N07 N02 G S10 N17
N07 N02 G S11,N07 N02 G S11 N17
N07 N02 G S12,N07 N02 G S12 N37
N07 N02 G S13,N07 N02 G S13 S35
N07 N02 G S14,N07 N02 G S14 N26
N07 N02 G S15,N07 N02 G S15 N26
N07 N02 G S16,N07 N02 G S16 N26
N07 N02 G S17,N07 N02 G S17 N11
N07 N02 G S18,N07 N02 G S18 N11
N07 N02 G S19,N07 N02 G S19 N11
N07 N02 G S20,N07 N02 G S20 N17
N07 N02 G S21,N07 N02 G S21 N17
N07 N02 G S22,N07 N02 G S22 N26
N07 N02 G S23,N07 N02 G S23 N26
N07 N02 G S24,N07 N02 G S24 N26
N07 N02 G S25,N07 N02 G S25 N04
N07 N02 G S26,N07 N02 G S26 N04
N07 N02 G S27,N07 N02 G S27 N17
N07 N02 G S28,N07 N02 G S28 N17
N07 N02 G S29,N07 N02 G S29 N17
N07 N02 G S30,N07 N02 G S30 N17
N07 N02 G S31,N07 N02 G S31 N26
N07 N02 G S32,N07 N02 G S32 N26
N07 N02 G S33,N07 N02 G S33 N26
N07 N02 G S34,N07 N02 G S34 N11
N07 N02 G S35,N07 N02 G S35 N11
N07 N02 G S36,N07 N02 G S36 N11
N07 N02 G S37,N07 N02 G S37 N11
N07 N02 G S38,N07 N02 G S38 N17
N07 N02 G S39,N07 N02 G S39 N17
N07 N02 G S40,N07 N02 G S40 N17
N07 N03 G N01,N07 N03 G N01 N12
N07 N03 G N02,N07 N03 G N02 N16
N07 N03 G N03+,N07 N03 G N03+ N27
N07 N03 G N04,N07 N03 G N04 N27
N07 N03 G N05,N07 N03 G N05 N12
N07 N03 G N06,N07 N03 G N06 N16
N07 N03 G N08,N07 N03 G N08 N10
N07 N03 G N09,N07 N03 G N09 N10
N07 N03 G N10,N07 N03 G N10 N16
N07 N03 G N11,N07 N03 G N11 N16
N07 N03 G N12,N07 N03 G N12 N16
N07 N03 G N13,N07 N03 G N13 N36
N07 N03 G N14,N07 N03 G N14 N27
N07 N03 G N15,N07 N03 G N15 N27
N07 N03 G N16,N07 N03 G N16 N27
N07 N03 G N17,N07 N03 G N17 N27
N07 N03 G N18,N07 N03 G N18 N27
N07 N03 G N19,N07 N03 G N19 N12
N07 N03 G N20,N07 N03 G N20 N39
N07 N03 G N21,N07 N03 G N21 N16
N07 N03 G N22,N07 N03 G N22 N27
N07 N03 G N23,N07 N03 G N23 N25
N07 N03 G N24,N07 N03 G N24 N10
N07 N03 G N25,N07 N03 G N25 N16
N07 N03 G N26,N07 N03 G N26 N16
N07 N03 G N27,N07 N03 G N27 N16
N07 N03 G N28,N07 N03 G N28 N16
N07 N03 G N29,N07 N03 G N29 N37
N07 N03 G N30,N07 N03 G N30 N37
N07 N03 G N31,N07 N03 G N31 S36
N07 N03 G N32,N07 N03 G N32 N27
N07 N03 G N33,N07 N03 G N33 N27
N07 N03 G N34,N07 N03 G N34 N27
N07 N03 G N35,N07 N03 G N35 N27
N07 N03 G N36,N07 N03 G N36 N16
N07 N03 G N37,N07 N03 G N37 N16
N07 N03 G N38,N07 N03 G N38 N16
N07 N03 G N39,N07 N03 G N39 N18
N07 N03 G N40,N07 N03 G N40 N16
N07 N03 G S01,N07 N03 G S01 N27
N07 N03 G S02,N07 N03 G S02 N27
N07 N03 G S03,N07 N03 G S03 S36
N07 N03 G S04,N07 N03 G S04 N27
N07 N03 G S05,N07 N03 G S05 N27
N07 N03 G S06,N07 N03 G S06 N37
N07 N03 G S07,N07 N03 G S07 N27
N07 N03 G S08,N07 N03 G S08 N27
N07 N03 G S09,N07 N03 G S09 N27
N07 N03 G S10,N07 N03 G S10 N16
N07 N03 G S11,N07 N03 G S11 N35
N07 N03 G S12,N07 N03 G S12 N37
N07 N03 G S13,N07 N03 G S13 S36
N07 N03 G S14,N07 N03 G S14 S35
N07 N03 G S15,N07 N03 G S15 N27
N07 N03 G S16,N07 N03 G S16 N27
N07 N03 G S17,N07 N03 G S17 N27
N07 N03 G S18,N07 N03 G S18 N27
N07 N03 G S19,N07 N03 G S19 N12
N07 N03 G S20,N07 N03 G S20 N16
N07 N03 G S21,N07 N03 G S21 N37
N07 N03 G S22,N07 N03 G S22 S36
N07 N03 G S23,N07 N03 G S23 N27
N07 N03 G S24,N07 N03 G S24 N27
N07 N03 G S25,N07 N03 G S25 N27
N07 N03 G S26,N07 N03 G S26 N16
N07 N03 G S27,N07 N03 G S27 N16
N07 N03 G S28,N07 N03 G S28 N16
N07 N03 G S29,N07 N03 G S29 N37
N07 N03 G S30,N07 N03 G S30 N37
N07 N03 G S31,N07 N03 G S31 N37
N07 N03 G S32,N07 N03 G S32 N27
N07 N03 G S33,N07 N03 G S33 N27
N07 N03 G S34,N07 N03 G S34 N27
N07 N03 G S35,N07 N03 G S35 N27
N07 N03 G S36,N07 N03 G S36 N12
N07 N03 G S37,N07 N03 G S37 N12
N07 N03 G S38,N07 N03 G S38 N16
N07 N03 G S39,N07 N03 G S39 N18
N07 N03 G S40,N07 N03 G S40 N37
N07 N04 G N01,N07 N04 G N01 N37
N07 N04 G N02,N07 N04 G N02 N37
N07 N04 G N03,N07 N04 G N03 N27
N07 N04 G N04+,N07 N04 G N04+ N13
N07 N04 G N05,N07 N04 G N05 N13
N07 N04 G N06,N07 N04 G N06 N19
N07 N04 G N08,N07 N04 G N08 N13
N07 N04 G N09,N07 N04 G N09 N17
N07 N04 G N10,N07 N04 G N10 N17
N07 N04 G N11,N07 N04 G N11 N37
N07 N04 G N12,N07 N04 G N12 N37
N07 N04 G N13,N07 N04 G N13 N37
N07 N04 G N14,N07 N04 G N14 N37
N07 N04 G N15,N07 N04 G N15 N37
N07 N04 G N16,N07 N04 G N16 N12
N07 N04 G N17,N07 N04 G N17 N13
N07 N04 G N18,N07 N04 G N18 N13
N07 N04 G N19,N07 N04 G N19 N13
N07 N04 G N20,N07 N04 G N20 N19
N07 N04 G N21,N07 N04 G N21 N39
N07 N04 G N22,N07 N04 G N22 N37
N07 N04 G N23,N07 N04 G N23 N13
N07 N04 G N24,N07 N04 G N24 N13
N07 N04 G N25,N07 N04 G N25 N11
N07 N04 G N26,N07 N04 G N26 N13
N07 N04 G N27,N07 N04 G N27 N13
N07 N04 G N28,N07 N04 G N28 N13
N07 N04 G N29,N07 N04 G N29 N37
N07 N04 G N30,N07 N04 G N30 N37
N07 N04 G N31,N07 N04 G N31 N37
N07 N04 G N32,N07 N04 G N32 S28
N07 N04 G N33,N07 N04 G N33 S28
N07 N04 G N34,N07 N04 G N34 N27
N07 N04 G N35,N07 N04 G N35 N13
N07 N04 G N36,N07 N04 G N36 N13
N07 N04 G N37,N07 N04 G N37 N13
N07 N04 G N38,N07 N04 G N38 N13
N07 N04 G N39,N07 N04 G N39 N19
N07 N04 G N40,N07 N04 G N40 N19
N07 N04 G S01,N07 N04 G S01 N37
N07 N04 G S02,N07 N04 G S02 N37
N07 N04 G S03,N07 N04 G S03 N37
N07 N04 G S04,N07 N04 G S04 N27
N07 N04 G S05,N07 N04 G S05 N37
N07 N04 G S06,N07 N04 G S06 N37
N07 N04 G S07,N07 N04 G S07 N37
N07 N04 G S08,N07 N04 G S08 N27
N07 N04 G S09,N07 N04 G S09 N13
N07 N04 G S10,N07 N04 G S10 N17
N07 N04 G S11,N07 N04 G S11 N37
N07 N04 G S12,N07 N04 G S12 N37
N07 N04 G S13,N07 N04 G S13 N37
N07 N04 G S14,N07 N04 G S14 N37
N07 N04 G S15,N07 N04 G S15 N37
N07 N04 G S16,N07 N04 G S16 N28
N07 N04 G S17,N07 N04 G S17 N29
N07 N04 G S18,N07 N04 G S18 N29
N07 N04 G S19,N07 N04 G S19 N13
N07 N04 G S20,N07 N04 G S20 N37
N07 N04 G S21,N07 N04 G S21 N37
N07 N04 G S22,N07 N04 G S22 N37
N07 N04 G S23,N07 N04 G S23 N27
N07 N04 G S24,N07 N04 G S24 N27
N07 N04 G S25,N07 N04 G S25 N27
N07 N04 G S26,N07 N04 G S26 N13
N07 N04 G S27,N07 N04 G S27 N17
N07 N04 G S28,N07 N04 G S28 N37
N07 N04 G S29,N07 N04 G S29 N37
N07 N04 G S30,N07 N04 G S30 N37
N07 N04 G S31,N07 N04 G S31 N37
N07 N04 G S32,N07 N04 G S32 N37
N07 N04 G S33,N07 N04 G S33 S28
N07 N04 G S34,N07 N04 G S34 N27
N07 N04 G S35,N07 N04 G S35 N27
N07 N04 G S36,N07 N04 G S36 N13
N07 N04 G S37,N07 N04 G S37 N13
N07 N04 G S38,N07 N04 G S38 N13
N07 N04 G S39,N07 N04 G S39 N37
N07 N04 G S40,N07 N04 G S40 N37
N07 N05 G N01,N07 N05 G N01 N18
N07 N05 G N02,N07 N05 G N02 N11
N07 N05 G N03,N07 N05 G N03 N18
N07 N05 G N04,N07 N05 G N04 N13
N07 N05 G N05+,N07 N05 G N05+ N18
N07 N05 G N06,N07 N05 G N06 N16
N07 N05 G N08,N07 N05 G N08 N03
N07 N05 G N09,N07 N05 G N09 N10
N07 N05 G N10,N07 N05 G N10 N18
N07 N05 G N11,N07 N05 G N11 N18
N07 N05 G N12,N07 N05 G N12 N18
N07 N05 G N13,N07 N05 G N13 N18
N07 N05 G N14,N07 N05 G N14 N38
N07 N05 G N15,N07 N05 G N15 S28
N07 N05 G N16,N07 N05 G N16 S28
N07 N05 G N17,N07 N05 G N17 N12
N07 N05 G N18,N07 N05 G N18 N12
N07 N05 G N19,N07 N05 G N19 N03
N07 N05 G N20,N07 N05 G N20 S29
N07 N05 G N21,N07 N05 G N21 N06
N07 N05 G N22,N07 N05 G N22 N38
N07 N05 G N23,N07 N05 G N23 N10
N07 N05 G N24,N07 N05 G N24 N03
N07 N05 G N25,N07 N05 G N25 N03
N07 N05 G N26,N07 N05 G N26 N03
N07 N05 G N27,N07 N05 G N27 N03
N07 N05 G N28,N07 N05 G N28 N03
N07 N05 G N29,N07 N05 G N29 N18
N07 N05 G N30,N07 N05 G N30 N38
N07 N05 G N31,N07 N05 G N31 N38
N07 N05 G N32,N07 N05 G N32 N38
N07 N05 G N33,N07 N05 G N33 S29
N07 N05 G N34,N07 N05 G N34 N12
N07 N05 G N35,N07 N05 G N35 N12
N07 N05 G N36,N07 N05 G N36 N12
N07 N05 G N37,N07 N05 G N37 S29
N07 N05 G N38,N07 N05 G N38 N03
N07 N05 G N39,N07 N05 G N39 S30
N07 N05 G N40,N07 N05 G N40 S30
N07 N05 G S01,N07 N05 G S01 N38
N07 N05 G S02,N07 N05 G S02 N18
N07 N05 G S03,N07 N05 G S03 N38
N07 N05 G S04,N07 N05 G S04 N38
N07 N05 G S05,N07 N05 G S05 N38
N07 N05 G S06,N07 N05 G S06 N18
N07 N05 G S07,N07 N05 G S07 N38
N07 N05 G S08,N07 N05 G S08 N12
N07 N05 G S09,N07 N05 G S09 N12
N07 N05 G S10,N07 N05 G S10 N18
N07 N05 G S11,N07 N05 G S11 N18
N07 N05 G S12,N07 N05 G S12 N18
N07 N05 G S13,N07 N05 G S13 N38
N07 N05 G S14,N07 N05 G S14 N38
N07 N05 G S15,N07 N05 G S15 S28
N07 N05 G S16,N07 N05 G S16 N38
N07 N05 G S17,N07 N05 G S17 N12
N07 N05 G S18,N07 N05 G S18 N12
N07 N05 G S19,N07 N05 G S19 N12
N07 N05 G S20,N07 N05 G S20 N30
N07 N05 G S21,N07 N05 G S21 N38
N07 N05 G S22,N07 N05 G S22 N38
N07 N05 G S23,N07 N05 G S23 S19
N07 N05 G S24,N07 N05 G S24 N12
N07 N05 G S25,N07 N05 G S25 N12
N07 N05 G S26,N07 N05 G S26 N12
N07 N05 G S27,N07 N05 G S27 N18
N07 N05 G S28,N07 N05 G S28 N18
N07 N05 G S29,N07 N05 G S29 N18
N07 N05 G S30,N07 N05 G S30 N18
N07 N05 G S31,N07 N05 G S31 N38
N07 N05 G S32,N07 N05 G S32 N38
N07 N05 G S33,N07 N05 G S33 S29
N07 N05 G S34,N07 N05 G S34 N12
N07 N05 G S35,N07 N05 G S35 N12
N07 N05 G S36,N07 N05 G S36 N12
N07 N05 G S37,N07 N05 G S37 N12
N07 N05 G S38,N07 N05 G S38 N03
N07 N05 G S39,N07 N05 G S39 N12
N07 N05 G S40,N07 N05 G S40 N38
N07 N06 G N01,N07 N06 G N01 N19
N07 N06 G N02,N07 N06 G N02 N01
N07 N06 G N03,N07 N06 G N03 N19
N07 N06 G N04,N07 N06 G N04 N19
N07 N06 G N05,N07 N06 G N05 S31
N07 N06 G N06+,N07 N06 G N06+ S31
N07 N06 G N08,N07 N06 G N08 N22
N07 N06 G N09,N07 N06 G N09 N08
N07 N06 G N10,N07 N06 G N10 N17
N07 N06 G N11,N07 N06 G N11 S35
N07 N06 G N12,N07 N06 G N12 N17
N07 N06 G N13,N07 N06 G N13 N17
N07 N06 G N14,N07 N06 G N14 N17
N07 N06 G N15,N07 N06 G N15 N17
N07 N06 G N16,N07 N06 G N16 N19
N07 N06 G N17,N07 N06 G N17 S33
N07 N06 G N18,N07 N06 G N18 S33
N07 N06 G N19,N07 N06 G N19 N17
N07 N06 G N20,N07 N06 G N20 S33
N07 N06 G N21,N07 N06 G N21 N17
N07 N06 G N22,N07 N06 G N22 S33
N07 N06 G N23,N07 N06 G N23 N37
N07 N06 G N24,N07 N06 G N24 N22
N07 N06 G N25,N07 N06 G N25 N22
N07 N06 G N26,N07 N06 G N26 S33
N07 N06 G N27,N07 N06 G N27 S33
N07 N06 G N28,N07 N06 G N28 S33
N07 N06 G N29,N07 N06 G N29 N17
N07 N06 G N30,N07 N06 G N30 N17
N07 N06 G N31,N07 N06 G N31 N17
N07 N06 G N32,N07 N06 G N32 N17
N07 N06 G N33,N07 N06 G N33 N37
N07 N06 G N34,N07 N06 G N34 N37
N07 N06 G N35,N07 N06 G N35 S33
N07 N06 G N36,N07 N06 G N36 S33
N07 N06 G N37,N07 N06 G N37 S33
N07 N06 G N38,N07 N06 G N38 S33
N07 N06 G N39,N07 N06 G N39 N37
N07 N06 G N40,N07 N06 G N40 S31
N07 N06 G S01,N07 N06 G S01 S31
N07 N06 G S02,N07 N06 G S02 N17
N07 N06 G S03,N07 N06 G S03 N17
N07 N06 G S04,N07 N06 G S04 N17
N07 N06 G S05,N07 N06 G S05 S31
N07 N06 G S06,N07 N06 G S06 S33
N07 N06 G S07,N07 N06 G S07 S33
N07 N06 G S08,N07 N06 G S08 S33
N07 N06 G S09,N07 N06 G S09 S33
N07 N06 G S10,N07 N06 G S10 S33
N07 N06 G S11,N07 N06 G S11 S19
N07 N06 G S12,N07 N06 G S12 N17
N07 N06 G S13,N07 N06 G S13 N17
N07 N06 G S14,N07 N06 G S14 N17
N07 N06 G S15,N07 N06 G S15 S18
N07 N06 G S16,N07 N06 G S16 S31
N07 N06 G S17,N07 N06 G S17 S31
N07 N06 G S18,N07 N06 G S18 S33
N07 N06 G S19,N07 N06 G S19 S33
N07 N06 G S20,N07 N06 G S20 S33
N07 N06 G S21,N07 N06 G S21 N17
N07 N06 G S22,N07 N06 G S22 N37
N07 N06 G S23,N07 N06 G S23 N17
N07 N06 G S24,N07 N06 G S24 N37
N07 N06 G S25,N07 N06 G S25 S33
N07 N06 G S26,N07 N06 G S26 S33
N07 N06 G S27,N07 N06 G S27 S33
N07 N06 G S28,N07 N06 G S28 S33
N07 N06 G S29,N07 N06 G S29 N17
N07 N06 G S30,N07 N06 G S30 N17
N07 N06 G S31,N07 N06 G S31 N17
N07 N06 G S32,N07 N06 G S32 N17
N07 N06 G S33,N07 N06 G S33 N37
N07 N06 G S34,N07 N06 G S34 N22
N07 N06 G S35,N07 N06 G S35 S33
N07 N06 G S36,N07 N06 G S36 S33
N07 N06 G S37,N07 N06 G S37 S33
N07 N06 G S38,N07 N06 G S38 S33
N07 N06 G S39,N07 N06 G S39 S33
N07 N06 G S40,N07 N06 G S40 S33
N07 N08 G N01,N07 N08 G N01 N10
N07 N08 G N02,N07 N08 G N02 S33
N07 N08 G N03,N07 N08 G N03 N10
N07 N08 G N04,N07 N08 G N04 N10
N07 N08 G N05,N07 N08 G N05 N01
N07 N08 G N06,N07 N08 G N06 N22
N07 N08 G N08+,N07 N08 G N08+ N22
N07 N08 G N09,N07 N08 G N09 S31
N07 N08 G N10,N07 N08 G N10 N12
N07 N08 G N11,N07 N08 G N11 S31
N07 N08 G N12,N07 N08 G N12 N15
N07 N08 G N13,N07 N08 G N13 N10
N07 N08 G N14,N07 N08 G N14 N12
N07 N08 G N15,N07 N08 G N15 N12
N07 N08 G N16,N07 N08 G N16 N10
N07 N08 G N17,N07 N08 G N17 N12
N07 N08 G N18,N07 N08 G N18 S29
N07 N08 G N19,N07 N08 G N19 S31
N07 N08 G N20,N07 N08 G N20 N06
N07 N08 G N21,N07 N08 G N21 N27
N07 N08 G N22,N07 N08 G N22 S31
N07 N08 G N23,N07 N08 G N23 N27
N07 N08 G N24,N07 N08 G N24 S33
N07 N08 G N25,N07 N08 G N25 N12
N07 N08 G N26,N07 N08 G N26 S31
N07 N08 G N27,N07 N08 G N27 S31
N07 N08 G N28,N07 N08 G N28 S31
N07 N08 G N29,N07 N08 G N29 S31
N07 N08 G N30,N07 N08 G N30 N27
N07 N08 G N31,N07 N08 G N31 N27
N07 N08 G N32,N07 N08 G N32 N12
N07 N08 G N33,N07 N08 G N33 N12
N07 N08 G N34,N07 N08 G N34 N12
N07 N08 G N35,N07 N08 G N35 N12
N07 N08 G N36,N07 N08 G N36 S31
N07 N08 G N37,N07 N08 G N37 S31
N07 N08 G N38,N07 N08 G N38 S31
N07 N08 G N39,N07 N08 G N39 N22
N07 N08 G N40,N07 N08 G N40 N22
N07 N08 G S01,N07 N08 G S01 N12
N07 N08 G S02,N07 N08 G S02 S33
N07 N08 G S03,N07 N08 G S03 N12
N07 N08 G S04,N07 N08 G S04 N12
N07 N08 G S05,N07 N08 G S05 N12
N07 N08 G S06,N07 N08 G S06 S31
N07 N08 G S07,N07 N08 G S07 S31
N07 N08 G S08,N07 N08 G S08 N12
N07 N08 G S09,N07 N08 G S09 S31
N07 N08 G S10,N07 N08 G S10 S31
N07 N08 G S11,N07 N08 G S11 S31
N07 N08 G S12,N07 N08 G S12 S33
N07 N08 G S13,N07 N08 G S13 S33
N07 N08 G S14,N07 N08 G S14 N12
N07 N08 G S15,N07 N08 G S15 N12
N07 N08 G S16,N07 N08 G S16 N12
N07 N08 G S17,N07 N08 G S17 S11
N07 N08 G S18,N07 N08 G S18 N32
N07 N08 G S19,N07 N08 G S19 S31
N07 N08 G S20,N07 N08 G S20 S31
N07 N08 G S21,N07 N08 G S21 N27
N07 N08 G S22,N07 N08 G S22 N27
N07 N08 G S23,N07 N08 G S23 N12
N07 N08 G S24,N07 N08 G S24 N12
N07 N08 G S25,N07 N08 G S25 S31
N07 N08 G S26,N07 N08 G S26 S31
N07 N08 G S27,N07 N08 G S27 S31
N07 N08 G S28,N07 N08 G S28 S31
N07 N08 G S29,N07 N08 G S29 S31
N07 N08 G S30,N07 N08 G S30 N22
N07 N08 G S31,N07 N08 G S31 N12
N07 N08 G S32,N07 N08 G S32 N27
N07 N08 G S33,N07 N08 G S33 N12
N07 N08 G S34,N07 N08 G S34 N12
N07 N08 G S35,N07 N08 G S35 N12
N07 N08 G S36,N07 N08 G S36 S31
N07 N08 G S37,N07 N08 G S37 S31
N07 N08 G S38,N07 N08 G S38 S31
